date,Casos positivos,Activos,media_7,ia14,ia_ratio
2021-06-01,0,,1.0,104.55876202425765,0.8750000000000001
2021-06-02,1,,1.0,104.55876202425765,0.9210526315789476
2021-06-03,1,,1.0,101.57136882356457,0.9189189189189191
2021-06-04,0,,1.0,77.67222321801995,0.7428571428571428
2021-06-05,0,,1.0,71.6974368166338,0.6857142857142855
2021-06-06,3,,1.0,77.67222321801995,0.764705882352941
2021-06-07,3,,1.0,56.760470813168425,0.5428571428571427
2021-06-08,4,,2.0,59.7478640138615,0.5714285714285713
2021-06-09,1,,2.0,56.760470813168425,0.5428571428571427
2021-06-10,0,,2.0,50.785684411782285,0.5
2021-06-11,1,,2.0,53.77307761247536,0.6923076923076924
2021-06-12,0,,2.0,53.77307761247536,0.7500000000000002
2021-06-13,2,,2.0,56.760470813168425,0.7307692307692307
2021-06-14,2,,1.0,53.77307761247536,0.9473684210526317
2021-06-15,0,,1.0,53.77307761247536,0.9000000000000001
2021-06-16,8,,2.0,74.68483001732687,1.3157894736842106
2021-06-17,6,,3.0,89.62179602079226,1.7647058823529411
2021-06-18,2,,3.0,95.5965824221784,1.7777777777777775
2021-06-19,5,,4.0,110.53354842564377,2.055555555555555
2021-06-20,4,,4.0,113.52094162633685,2.0
2021-06-21,8,,5.0,128.45790762980224,2.3888888888888884
2021-06-22,5,,5.0,131.4453008304953,2.444444444444444
2021-06-23,5,,5.0,143.3948736332676,1.92
2021-06-24,7,,5.0,164.30662603811913,1.8333333333333333
2021-06-25,6,,6.0,179.24359204158452,1.8750000000000002
2021-06-26,6,,6.0,197.16795124574298,1.7837837837837842
